oem0.inf	C:\Windows\System32\DriverStore\FileRepository\appnodeenum.inf_arm64_ce09fe3309ee325c\appnodeenum.inf	Samsung Electronics Co., Ltd.	2019-08-02	1.0.0.13	System	System devices	True
oem11.inf	C:\Windows\System32\DriverStore\FileRepository\axusbeth.inf_arm64_24e767040bb5ff7c\axusbeth.inf	ASIX	2024-06-07	3.22.2.0	Net	Network adapters	False
oem1.inf	C:\Windows\System32\DriverStore\FileRepository\bh1733als.inf_arm64_d466fef88041da7b\bh1733als.inf	Samsung Electronics Co., Ltd.	2019-12-17	1.0.3.8	Sensor	Sensors	False
oem2.inf	C:\Windows\System32\DriverStore\FileRepository\dax3_ext_qc_dolbyatmos_vlldp1.2.inf_arm64_39d14c8a42d07ec3\dax3_ext_qc_dolbyatmos_vlldp1.2.inf	Dolby	2019-08-26	3.0.4.1	Extension	Extensions	False
oem3.inf	C:\Windows\System32\DriverStore\FileRepository\dax3_ext_qc_dolbyaudiopremium.inf_arm64_496f4ceb51db0623\dax3_ext_qc_dolbyaudiopremium.inf	Dolby	2019-09-05	3.20201.231.0	Extension	Extensions	False
oem4.inf	C:\Windows\System32\DriverStore\FileRepository\dax3_swc_aposvc_arm64.inf_arm64_176dab40de72412a\dax3_swc_aposvc_arm64.inf	Dolby	2019-04-08	3.20301.325.0	SoftwareComponent	Software components	False
oem5.inf	C:\Windows\System32\DriverStore\FileRepository\dax3_swc_aposvc_arm64.inf_arm64_6ee23deafbc32a5f\dax3_swc_aposvc_arm64.inf	Dolby	2019-09-24	3.20403.443.10	SoftwareComponent	Software components	False
oem6.inf	C:\Windows\System32\DriverStore\FileRepository\dax3_swc_hsa_arm64.inf_arm64_410dcbe2e8150484\dax3_swc_hsa_arm64.inf	Dolby	2019-03-12	3.20301.311.0	SoftwareComponent	Software components	False
oem7.inf	C:\Windows\System32\DriverStore\FileRepository\dax3_swc_hsa_arm64.inf_arm64_7042d6a72eee5620\dax3_swc_hsa_arm64.inf	Dolby	2019-08-26	3.20402.409.1	SoftwareComponent	Software components	False
oem8.inf	C:\Windows\System32\DriverStore\FileRepository\egistouchfpwoa.inf_arm64_08226995965a4ba7\egistouchfpwoa.inf	Egis Technology Inc.	2019-07-29	1.0.15.0	Biometric	Biometric devices	False
oem9.inf	C:\Windows\System32\DriverStore\FileRepository\emuec.inf_arm64_e75e3cf0be3c7ddc\emuec.inf	Samsung Electronics Co,.Ltd.	2020-02-04	15.2.40.590	System	System devices	True
oem10.inf	C:\Windows\System32\DriverStore\FileRepository\galaxybookdriver_space.inf_arm64_1cd9ca61872e1d01\galaxybookdriver_space.inf	Samsung Electronics Co., Ltd.	2019-05-17	1.0.0.0	System	System devices	True
oem12.inf	C:\Windows\System32\DriverStore\FileRepository\halextqcwdogtimer8180.inf_arm64_e38ccb14f6c3f57f\halextqcwdogtimer8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	Computer	Computer	True
oem13.inf	C:\Windows\System32\DriverStore\FileRepository\helloface.inf_arm64_2e81d66835eba4da\helloface.inf	Windows Hello Face	2018-06-01	10.0.19041.1889	Biometric	Biometric devices	False
oem23.inf	C:\Windows\System32\DriverStore\FileRepository\hhddmsserial.inf_arm64_2d9be54d705ce60e\hhddmsserial.inf	HHD Software Ltd.	2025-10-07	10.1.0.2237	Ports	Ports (COM & LPT)	True
oem22.inf	C:\Windows\System32\DriverStore\FileRepository\hhddmsusb.inf_arm64_4a187d425be47604\hhddmsusb.inf	HHD Software Ltd.	2025-10-07	10.1.0.2237	USB	Universal Serial Bus controllers	True
oem20.inf	C:\Windows\System32\DriverStore\FileRepository\hhdnet.inf_arm64_9bec1483b0e34704\hhdnet.inf	HHD Software Ltd.	2025-10-07	10.1.0.2237	NetService	Network Service	False
oem15.inf	C:\Windows\System32\DriverStore\FileRepository\kbdhelper.inf_arm64_595714e89baf9a68\kbdhelper.inf	Samsung Electronics Co.,Ltd.	2019-11-25	1.0.0.3	Keyboard	Keyboards	True
oem16.inf	C:\Windows\System32\DriverStore\FileRepository\mcfg_subsys_ext8180.inf_arm64_c5178b40afe40a5e\mcfg_subsys_ext8180.inf	Samsung Electronics Co., Ltd.	2020-07-28	4.23.52.0	Extension	Extensions	False
oem17.inf	C:\Windows\System32\DriverStore\FileRepository\modemctrl.arm64.inf_arm64_7354aea7fdba77ae\modemctrl.arm64.inf	Samsung Electronics Co., Ltd.	2020-07-27	13.24.21.688	System	System devices	True
oem18.inf	C:\Windows\System32\DriverStore\FileRepository\monitor_space.inf_arm64_e31d7f08b12d5367\monitor_space.inf	Samsung Electronics Co., Ltd.	2020-01-10	15.1.1.1	Monitor	Monitors	False
oem19.inf	C:\Windows\System32\DriverStore\FileRepository\paneldriver.inf_arm64_7cd3a695b9ab839b\paneldriver.inf	Samsung Electronics Co., Ltd.	2020-03-03	0.1.0.5	System	System devices	True
oem21.inf	C:\Windows\System32\DriverStore\FileRepository\prnms001.inf_arm64_b5cf559a6da50414\prnms001.inf	Microsoft	2006-06-21	10.0.19041.1806	Printer	Printers	False
oem162.inf	C:\Windows\System32\DriverStore\FileRepository\prnms009.inf_arm64_e77dc6a3f97b016b\prnms009.inf	Microsoft	2006-06-21	10.0.22621.1	Printer	Printers	False
oem26.inf	C:\Windows\System32\DriverStore\FileRepository\qcabd.inf_arm64_1bc598df9c484f15\qcabd.inf	Qualcomm Technologies Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem28.inf	C:\Windows\System32\DriverStore\FileRepository\qcacsp_cls8180.inf_arm64_8aa66d2c7dec0b61\qcacsp_cls8180.inf	Qualcomm Technologies, Inc.	2019-11-28	1.0.770.9	Extension	Extensions	False
oem30.inf	C:\Windows\System32\DriverStore\FileRepository\qcadc8180.inf_arm64_cd1e036774a7b09f\qcadc8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem31.inf	C:\Windows\System32\DriverStore\FileRepository\qcadcm8180.inf_arm64_6c0af01b459513d1\qcadcm8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem33.inf	C:\Windows\System32\DriverStore\FileRepository\qcadsprpc8180.inf_arm64_7eb12ec577b8add2\qcadsprpc8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem34.inf	C:\Windows\System32\DriverStore\FileRepository\qcadsprpcd8180.inf_arm64_4ec85079ef7eb24a\qcadsprpcd8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem35.inf	C:\Windows\System32\DriverStore\FileRepository\qcauddev8180.inf_arm64_e690e0253f1a5c3c\qcauddev8180.inf	Qualcomm	2019-09-13	1.0.770.0	Media	Sound, video and game controllers	False
oem36.inf	C:\Windows\System32\DriverStore\FileRepository\qcauddev8180_ss.inf_arm64_6080a9338434daca\qcauddev8180_ss.inf	Samsung Electronics Co., Ltd.	2020-02-11	1.0.960.1	Media	Sound, video and game controllers	False
oem37.inf	C:\Windows\System32\DriverStore\FileRepository\qcaudminiport_ss.inf_arm64_df27788dfb77a0db\qcaudminiport_ss.inf	Samsung Electronics Co., Ltd.	2020-07-14	1.0.1000.4	MEDIA	Sound, video and game controllers	False
oem38.inf	C:\Windows\System32\DriverStore\FileRepository\qcbattminiclass850.inf_arm64_e4faeead58dc45ab\qcbattminiclass850.inf	Qualcomm Incorporated	2018-09-17	1.0.9260.0	Battery	Batteries	True
oem39.inf	C:\Windows\System32\DriverStore\FileRepository\qcbtaddvscregistry8180.inf_arm64_adf5782018385f6f\qcbtaddvscregistry8180.inf	Qualcomm Incorporated	2021-03-24	1.0.1520.0	Bluetooth	Bluetooth	False
oem41.inf	C:\Windows\System32\DriverStore\FileRepository\qcbtfmuart_ext8180.inf_arm64_05f8f87c5463edab\qcbtfmuart_ext8180.inf	Qualcomm Atheros Communications Inc.	2019-06-13	1.0.640.0	Extension	Extensions	False
oem42.inf	C:\Windows\System32\DriverStore\FileRepository\qcbtfmuart8180.inf_arm64_96d9d71023361ae6\qcbtfmuart8180.inf	Qualcomm Atheros Communications Inc.	2019-10-25	1.0.830.0	Bluetooth	Bluetooth	False
oem43.inf	C:\Windows\System32\DriverStore\FileRepository\qcbtfmuart8180.inf_arm64_ba0b068654fae2c1\qcbtfmuart8180.inf	Qualcomm Atheros Communications Inc.	2021-03-24	1.0.1520.0	Bluetooth	Bluetooth	False
oem165.inf	C:\Windows\System32\DriverStore\FileRepository\qccamavscls8180.inf_arm64_1e9f33a65c8089e4\qccamavscls8180.inf	Qualcomm	2023-07-23	4231.62.0.0	CAMERA	Cameras	False
oem44.inf	C:\Windows\System32\DriverStore\FileRepository\qccamavscls8180.inf_arm64_7833832eda6ab8e8\qccamavscls8180.inf	Qualcomm	2020-06-30	3110.540.0.0	CAMERA	Cameras	False
oem166.inf	C:\Windows\System32\DriverStore\FileRepository\qccamfrontsensor8180.inf_arm64_56e5e17b8daabd57\qccamfrontsensor8180.inf	Qualcomm Incorporated	2023-07-23	4231.62.0.0	Camera	Cameras	False
oem45.inf	C:\Windows\System32\DriverStore\FileRepository\qccamfrontsensor8180.inf_arm64_d0c47d9f8823b4a5\qccamfrontsensor8180.inf	Qualcomm Incorporated	2020-06-30	3110.540.0.0	Camera	Cameras	False
oem167.inf	C:\Windows\System32\DriverStore\FileRepository\qccamisp8180.inf_arm64_2affce7660da49bc\qccamisp8180.inf	Qualcomm Inc.	2023-07-23	4231.60.0.0	Camera	Cameras	False
oem47.inf	C:\Windows\System32\DriverStore\FileRepository\qccamisp8180.inf_arm64_7a7bba7a25967af9\qccamisp8180.inf	Qualcomm Inc.	2020-06-30	3110.539.0.0	Camera	Cameras	False
oem168.inf	C:\Windows\System32\DriverStore\FileRepository\qccamjpege8180.inf_arm64_4dd9ba00259384d4\qccamjpege8180.inf	Qualcomm	2023-07-23	4231.60.0.0	Camera	Cameras	False
oem49.inf	C:\Windows\System32\DriverStore\FileRepository\qccamjpege8180.inf_arm64_dda07be52dd9df09\qccamjpege8180.inf	Qualcomm	2020-06-30	3110.539.0.0	Camera	Cameras	False
oem51.inf	C:\Windows\System32\DriverStore\FileRepository\qccammipicsi8180.inf_arm64_71b9638a74e4a47a\qccammipicsi8180.inf	Qualcomm Inc.	2020-06-30	3110.539.0.0	Camera	Cameras	False
oem169.inf	C:\Windows\System32\DriverStore\FileRepository\qccammipicsi8180.inf_arm64_d157d6a7ea76367a\qccammipicsi8180.inf	Qualcomm Inc.	2023-07-23	4231.60.0.0	Camera	Cameras	False
oem170.inf	C:\Windows\System32\DriverStore\FileRepository\qccamplatform8180.inf_arm64_a093d1464b53a42a\qccamplatform8180.inf	Qualcomm Inc.	2023-07-23	4231.62.0.0	Camera	Cameras	False
oem53.inf	C:\Windows\System32\DriverStore\FileRepository\qccamplatform8180.inf_arm64_ead6f5f6168690c9\qccamplatform8180.inf	Qualcomm Inc.	2020-06-30	3110.540.0.0	Camera	Cameras	False
oem54.inf	C:\Windows\System32\DriverStore\FileRepository\qcccidbridge8180.inf_arm64_1a9251b37d88e71e\qcccidbridge8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	System	System devices	True
oem55.inf	C:\Windows\System32\DriverStore\FileRepository\qccdi8180.inf_arm64_6e252fa2a809d576\qccdi8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem57.inf	C:\Windows\System32\DriverStore\FileRepository\qcdiagbridge.inf_arm64_75b8857531ad692e\qcdiagbridge.inf	Qualcomm Incorporated	2019-09-18	1.0.760.1	System	System devices	True
oem58.inf	C:\Windows\System32\DriverStore\FileRepository\qcdiagcsi8180.inf_arm64_43d991d43f7ce91c\qcdiagcsi8180.inf	Qualcomm Incorporated	2020-02-27	1.0.1000.0	SYSTEM	System devices	True
oem59.inf	C:\Windows\System32\DriverStore\FileRepository\qcdiagrouter8180.inf_arm64_7b854c7b9cc26599\qcdiagrouter8180.inf	Qualcomm Incorporated	2020-02-27	1.0.1000.0	SYSTEM	System devices	True
oem60.inf	C:\Windows\System32\DriverStore\FileRepository\qcdx8180.inf_arm64_a6eeb0588aa111aa\qcdx8180.inf	Qualcomm Incorporated	2020-03-20	26.18.1040.0	Display	Display adapters	False
oem61.inf	C:\Windows\System32\DriverStore\FileRepository\qcdx8180.inf_arm64_c1c5f5f4255a7d2a\qcdx8180.inf	Qualcomm Incorporated	2021-09-24	27.20.1640.0	Display	Display adapters	False
oem62.inf	C:\Windows\System32\DriverStore\FileRepository\qcfgbcl8180.inf_arm64_679d16e7f69fb4f5\qcfgbcl8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem63.inf	C:\Windows\System32\DriverStore\FileRepository\qcfgbclext8180.inf_arm64_76b926ed35cd2b0b\qcfgbclext8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	Extension	Extensions	False
oem65.inf	C:\Windows\System32\DriverStore\FileRepository\qcglink8180.inf_arm64_b4aa0854ab832fbf\qcglink8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem66.inf	C:\Windows\System32\DriverStore\FileRepository\qcgnss8180.inf_arm64_bd6a5ace5a6011ac\qcgnss8180.inf	Qualcomm	2020-03-06	1.0.1020.0	Sensor	Sensors	False
oem68.inf	C:\Windows\System32\DriverStore\FileRepository\qcgpi8180.inf_arm64_677d19d847fc9fa0\qcgpi8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem70.inf	C:\Windows\System32\DriverStore\FileRepository\qcgpio8180.inf_arm64_b5119664ee6a2a12\qcgpio8180.inf	CompanyName	2019-10-25	1.0.830.0	System	System devices	True
oem73.inf	C:\Windows\System32\DriverStore\FileRepository\qcgsi8180.inf_arm64_b88a67768a981657\qcgsi8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem74.inf	C:\Windows\System32\DriverStore\FileRepository\qchwnled8180.inf_arm64_5056fd42f3359957\qchwnled8180.inf	Samsung Electronics Co., Ltd.	2019-09-26	1.0.0.1	HIDClass	Human Interface Devices	True
oem76.inf	C:\Windows\System32\DriverStore\FileRepository\qci2c8180.inf_arm64_191d0a2751394008\qci2c8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
