oem0.inf	C:\Windows\System32\DriverStore\FileRepository\appnodeenum.inf_arm64_ce09fe3309ee325c\appnodeenum.inf	Samsung Electronics Co., Ltd.	2019-08-02	1.0.0.13	System	System devices	True
oem77.inf	C:\Windows\System32\DriverStore\FileRepository\qciommu8180.inf_arm64_dadbf66530aeae57\qciommu8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem78.inf	C:\Windows\System32\DriverStore\FileRepository\qcipa8180.inf_arm64_e342ad05e1346d1e\qcipa8180.inf	Qualcomm Inc.	2020-03-06	1.0.1020.0	System	System devices	True
oem81.inf	C:\Windows\System32\DriverStore\FileRepository\qcipcrouter8180.inf_arm64_643f7ab71eb08928\qcipcrouter8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem83.inf	C:\Windows\System32\DriverStore\FileRepository\qckmbam8180.inf_arm64_f093cc571bb889d9\qckmbam8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem84.inf	C:\Windows\System32\DriverStore\FileRepository\qclistensm_swc_ext8180.inf_arm64_a70d95a794e79c2e\qclistensm_swc_ext8180.inf	Qualcomm Technologies, Inc.	2019-10-16	1.0.730.3000	Extension	Extensions	False
oem85.inf	C:\Windows\System32\DriverStore\FileRepository\qclistensm_swc8180.inf_arm64_576fec5698798fd3\qclistensm_swc8180.inf	Qualcomm Technologies, Inc.	2019-08-26	1.0.730.2000	SoftwareComponent	Software components	False
oem86.inf	C:\Windows\System32\DriverStore\FileRepository\qclistensm_swc8180.inf_arm64_7355747d0a7d9fe3\qclistensm_swc8180.inf	Qualcomm Technologies, Inc.	2019-08-02	1.0.710.0	SoftwareComponent	Software components	False
oem87.inf	C:\Windows\System32\DriverStore\FileRepository\qclistensm8180.inf_arm64_569da907f38feeb6\qclistensm8180.inf	Qualcomm Technologies, Inc.	2019-08-26	1.0.730.2000	Extension	Extensions	False
oem89.inf	C:\Windows\System32\DriverStore\FileRepository\qcltecoexmgr8180.inf_arm64_60cfb50a1c41c6d1\qcltecoexmgr8180.inf	Qualcomm, Inc.	2020-03-06	1.0.1020.0	SYSTEM	System devices	True
oem90.inf	C:\Windows\System32\DriverStore\FileRepository\qcmbb8180.inf_arm64_22789785ec438bbe\qcmbb8180.inf	Qualcomm Inc.	2021-02-22	3347.49.0.0	Net	Network adapters	False
oem92.inf	C:\Windows\System32\DriverStore\FileRepository\qcmbrg8180.inf_arm64_1591e31bf76fb675\qcmbrg8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	System	System devices	True
oem93.inf	C:\Windows\System32\DriverStore\FileRepository\qcpdsr.inf_arm64_2fe2834fa04cd590\qcpdsr.inf	Qualcomm Incorporated	2020-03-06	1.0.1020.0	SYSTEM	System devices	True
oem95.inf	C:\Windows\System32\DriverStore\FileRepository\qcpep.wd8180.inf_arm64_3d6eea98f7848874\qcpep.wd8180.inf	Qualcomm Inc.	2020-03-06	1.0.1020.1	System	System devices	True
oem97.inf	C:\Windows\System32\DriverStore\FileRepository\qcpil8180.inf_arm64_5c6f76e75ccd8ad4\qcpil8180.inf	Qualcomm Incorporated	2019-09-13	1.0.770.0	System	System devices	True
oem98.inf	C:\Windows\System32\DriverStore\FileRepository\qcpilext8180.inf_arm64_7bb1f1fb12f584a2\qcpilext8180.inf	Qualcomm Incorporated	2019-09-13	1.0.770.1	Extension	Extensions	False
oem99.inf	C:\Windows\System32\DriverStore\FileRepository\qcpmic8180.inf_arm64_6323696a46718299\qcpmic8180.inf	Qualcomm Inc.	2020-02-06	1.0.980.0	System	System devices	True
oem102.inf	C:\Windows\System32\DriverStore\FileRepository\qcpmicapps8180.inf_arm64_acac99f6139ffa7e\qcpmicapps8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem103.inf	C:\Windows\System32\DriverStore\FileRepository\qcpmicglink8180.inf_arm64_a9000585390b699e\qcpmicglink8180.inf	Qualcomm Incorporated	2020-01-25	1.0.960.0	System	System devices	True
oem104.inf	C:\Windows\System32\DriverStore\FileRepository\qcpmicgpio8180.inf_arm64_37c1f3f97a87a260\qcpmicgpio8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem105.inf	C:\Windows\System32\DriverStore\FileRepository\qcppx8180.inf_arm64_2630a5d50ce5a7f5\qcppx8180.inf	Qualcomm Inc.	2019-08-25	1.0.740.0	System	System devices	True
oem106.inf	C:\Windows\System32\DriverStore\FileRepository\qcqdss8180.inf_arm64_954edc88b29a9e2b\qcqdss8180.inf	Qualcomm Inc.	2019-09-05	1.0.760.0	System	System devices	True
oem107.inf	C:\Windows\System32\DriverStore\FileRepository\qcremoteat8180.inf_arm64_0df4ab54d9868e72\qcremoteat8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	System	System devices	True
oem109.inf	C:\Windows\System32\DriverStore\FileRepository\qcremotefs8180.inf_arm64_8a629fd5db8bab22\qcremotefs8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem110.inf	C:\Windows\System32\DriverStore\FileRepository\qcrevrmnet8180.inf_arm64_0df5d364e3a8ee8c\qcrevrmnet8180.inf	Qualcomm Inc.	2019-09-13	1.0.770.0	NetTrans	Network Protocol	False
oem111.inf	C:\Windows\System32\DriverStore\FileRepository\qcrmnetbridge8180.inf_arm64_ca8272089f8e4360\qcrmnetbridge8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	System	System devices	True
oem113.inf	C:\Windows\System32\DriverStore\FileRepository\qcrpen8180.inf_arm64_fb9466cbcb0390a9\qcrpen8180.inf	Qualcomm Incorporated	2020-03-20	1.0.1040.0	System	System devices	True
oem114.inf	C:\Windows\System32\DriverStore\FileRepository\qcscm8180.inf_arm64_ae8e63e51413685e\qcscm8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem116.inf	C:\Windows\System32\DriverStore\FileRepository\qcsensors8180.inf_arm64_8855ada4d1ac6dc4\qcsensors8180.inf	Qualcomm	2020-03-06	1.0.1020.0	Sensor	Sensors	False
oem117.inf	C:\Windows\System32\DriverStore\FileRepository\qcsensorsconfigcls8180.inf_arm64_bba805930c9ddcf7\qcsensorsconfigcls8180.inf	Qualcomm Technologies Inc	2020-03-06	1.0.1020.0	Extension	Extensions	False
oem118.inf	C:\Windows\System32\DriverStore\FileRepository\qcshutdownsvc.inf_arm64_df76377c4a712424\qcshutdownsvc.inf	Qualcomm Technologies, Incorporated	2020-03-06	1.0.1020.0	SYSTEM	System devices	True
oem119.inf	C:\Windows\System32\DriverStore\FileRepository\qcslimbus8180.inf_arm64_4e26050f56aec0c6\qcslimbus8180.inf	Qualcomm Inc.	2020-03-06	1.0.1020.0	SYSTEM	System devices	True
oem122.inf	C:\Windows\System32\DriverStore\FileRepository\qcsmmu8180.inf_arm64_a3025ec179111ba9\qcsmmu8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem123.inf	C:\Windows\System32\DriverStore\FileRepository\qcsocpartition.inf_arm64_332be0124b905309\qcsocpartition.inf	Qualcomm Technologies Inc.	2019-08-30	1.0.750.0	SYSTEM	System devices	True
oem125.inf	C:\Windows\System32\DriverStore\FileRepository\qcspi8180.inf_arm64_5717613b7b0745a7\qcspi8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem126.inf	C:\Windows\System32\DriverStore\FileRepository\qcspi8180_ext.inf_arm64_8b9483f426e19430\qcspi8180_ext.inf	Qualcomm Technologies, Inc.	2019-01-17	1.0.430.0	Extension	Extensions	False
oem128.inf	C:\Windows\System32\DriverStore\FileRepository\qcspmi8180.inf_arm64_9714d3a3fbcd7965\qcspmi8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem129.inf	C:\Windows\System32\DriverStore\FileRepository\qcsubsys_ext_adsp8180.inf_arm64_78b18c0a325a9166\qcsubsys_ext_adsp8180.inf	Qualcomm Technologies, Incorporated	2019-08-16	1.0.720.2	Extension	Extensions	False
oem130.inf	C:\Windows\System32\DriverStore\FileRepository\qcsubsys_ext_cdsp8180.inf_arm64_0be39ea09d14bdb6\qcsubsys_ext_cdsp8180.inf	Qualcomm Technologies, Incorporated	2020-03-20	1.0.1040.0	Extension	Extensions	False
oem163.inf	C:\Windows\System32\DriverStore\FileRepository\qcsubsys_ext_mpss8180.inf_arm64_ec7c4d763349ea77\qcsubsys_ext_mpss8180.inf	Qualcomm Technologies, Incorporated	2020-07-28	2.0.900.4	Extension	Extensions	False
oem133.inf	C:\Windows\System32\DriverStore\FileRepository\qcsubsys_ext_scss8180.inf_arm64_dcf9b1c49cd7b2fe\qcsubsys_ext_scss8180.inf	Qualcomm Technologies, Incorporated	2020-03-20	1.0.1040.0	Extension	Extensions	False
oem134.inf	C:\Windows\System32\DriverStore\FileRepository\qcsubsys8180.inf_arm64_4ef6a277bff20c42\qcsubsys8180.inf	Qualcomm Technologies, Incorporated	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem136.inf	C:\Windows\System32\DriverStore\FileRepository\qcsyscache8180.inf_arm64_26b074e21cc3a400\qcsyscache8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	System	System devices	True
oem137.inf	C:\Windows\System32\DriverStore\FileRepository\qctftpkmdf.inf_arm64_dff73a99dcc99d6a\qctftpkmdf.inf	Qualcomm Technologies, Incorporated	2019-08-02	1.0.710.0	SYSTEM	System devices	True
oem138.inf	C:\Windows\System32\DriverStore\FileRepository\qctree8180.inf_arm64_7283ac2a8822b459\qctree8180.inf	Qualcomm Inc.	2019-09-13	1.0.770.1	SYSTEM	System devices	True
oem139.inf	C:\Windows\System32\DriverStore\FileRepository\qcuart8180.inf_arm64_85c0c5bca171dad5\qcuart8180.inf	Qualcomm Technologies, Inc.	2019-07-11	1.0.680.0	Ports	Ports (COM & LPT)	True
oem140.inf	C:\Windows\System32\DriverStore\FileRepository\qcusbcucsi8180.inf_arm64_7f823b9ed75639bb\qcusbcucsi8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	USBDevice	Universal Serial Bus devices	True
oem141.inf	C:\Windows\System32\DriverStore\FileRepository\qcusbfn8180.inf_arm64_32257b7f9ea51ee2\qcusbfn8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	USBDevice	Universal Serial Bus devices	True
oem142.inf	C:\Windows\System32\DriverStore\FileRepository\qcusbfnssfilter8180.inf_arm64_a57e42a150ee2ce9\qcusbfnssfilter8180.inf	Qualcomm Technologies, Inc.	2020-03-20	1.0.1040.0	USBDevice	Universal Serial Bus devices	True
oem144.inf	C:\Windows\System32\DriverStore\FileRepository\qcwlan8180.inf_arm64_59a3e6c522523a44\qcwlan8180.inf	Qualcomm Inc	2021-04-21	1.0.1540.0	Net	Network adapters	False
oem145.inf	C:\Windows\System32\DriverStore\FileRepository\qcwlan8180_ext.inf_arm64_b3b98fb721c461b4\qcwlan8180_ext.inf	Qualcomm Inc	2019-07-26	1.0.700.0	Extension	Extensions	False
oem146.inf	C:\Windows\System32\DriverStore\FileRepository\qcxhcifilter8180.inf_arm64_3086f9445347f120\qcxhcifilter8180.inf	Qualcomm Technologies, Inc.	2019-09-13	1.0.770.0	USB	Universal Serial Bus controllers	True
oem148.inf	C:\Windows\System32\DriverStore\FileRepository\qsarconfig8180.inf_arm64_c870456333f15fda\qsarconfig8180.inf	Qualcomm Inc.	2020-03-20	1.0.1040.0	Extension	Extensions	False
oem149.inf	C:\Windows\System32\DriverStore\FileRepository\qsarmgr8180.inf_arm64_428c3295a0ddf764\qsarmgr8180.inf	Qualcomm	2020-03-20	1.0.1040.0	SYSTEM	System devices	True
oem150.inf	C:\Windows\System32\DriverStore\FileRepository\safidrv.inf_arm64_6b392e5de743cb11\safidrv.inf	Samsung Electronics Co., Ltd.	2020-05-25	11.1.13.591	System	System devices	True
oem151.inf	C:\Windows\System32\DriverStore\FileRepository\samsungosdservice.inf_arm64_3f053c852a460b82\samsungosdservice.inf	Samsung Electronics Co.,Ltd.	2019-12-21	1.0.0.7	SoftwareComponent	Software components	False
oem152.inf	C:\Windows\System32\DriverStore\FileRepository\secpmic3p.inf_arm64_839a8b4377736cd9\secpmic3p.inf	Samsung Electronics Co,.Ltd.	2019-09-05	16.46.49.654	System	System devices	True
oem164.inf	C:\Windows\System32\DriverStore\FileRepository\space_pahp.inf_arm64_9a519109a705633d\space_pahp.inf	Samsung Electronics Co., Ltd.	2021-11-24	1.0.2.0	Firmware	Firmware	True
oem14.inf	C:\Windows\System32\DriverStore\FileRepository\space_pahp.inf_arm64_aece7e02bcede993\space_pahp.inf	Samsung Electronics Co., Ltd.	2024-12-26	1.0.2.3	Firmware	Firmware	True
oem154.inf	C:\Windows\System32\DriverStore\FileRepository\sx9360grip.inf_arm64_79e51c9fe44d8c96\sx9360grip.inf	Samsung Electronics Co., Ltd.	2019-10-17	1.0.0.3	Sensor	Sensors	False
oem155.inf	C:\Windows\System32\DriverStore\FileRepository\tpadfwupdatesrvinstall.inf_arm64_fb0adf4622054fc4\tpadfwupdatesrvinstall.inf	Samsung Electronics Co.,Ltd.	2020-06-21	1.0.0.13	SoftwareComponent	Software components	False
oem156.inf	C:\Windows\System32\DriverStore\FileRepository\tpadhelper.inf_arm64_09156bfefa33813f\tpadhelper.inf	Samsung Electronics Co.,Ltd.	2019-12-16	1.0.0.6	HIDClass	Human Interface Devices	True
oem157.inf	C:\Windows\System32\DriverStore\FileRepository\tsphelper.inf_arm64_653c3c1cd5d28adc\tsphelper.inf	Samsung Electronics Co.,Ltd.	2019-08-13	1.0.0.2	HIDClass	Human Interface Devices	True
oem158.inf	C:\Windows\System32\DriverStore\FileRepository\ucmem.inf_arm64_285604482f92f629\ucmem.inf	Samsung Electronics Co., Ltd.	2019-07-11	10.16.16.68	USB	Universal Serial Bus controllers	True
oem159.inf	C:\Windows\System32\DriverStore\FileRepository\ufnserialcomposite.inf_arm64_f76f92fc9a614aff\ufnserialcomposite.inf	Qualcomm	2020-03-20	1.0.1040.0	Ports	Ports (COM & LPT)	True
oem160.inf	C:\Windows\System32\DriverStore\FileRepository\vhidevent.inf_arm64_a755923fe7030295\vhidevent.inf	Samsung Electronics Co.,Ltd.	2019-03-15	1.0.0.1	HIDClass	Human Interface Devices	True
oem171.inf	C:\Windows\System32\DriverStore\FileRepository\wintun.inf_arm64_6e9942c90dfe5408\wintun.inf	WireGuard LLC	2021-10-13	0.14.0.0	Net	Network adapters	False
oem161.inf	C:\Windows\System32\DriverStore\FileRepository\wlsar.inf_arm64_8405710f50e1e829\wlsar.inf	Samsung Electronics Co., Ltd.	2019-08-12	16.0.30.81	System	System devices	True
